"id","sku","url","date","price","is_instant"
1602372,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/15",4500000.00,false
1602373,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/16",4500000.00,false
1602374,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/17",4500000.00,false
1602375,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/04",4500000.00,false
1602376,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/05",5500000.00,false
1602377,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/10",4500000.00,false
1602378,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/07",5500000.00,false
1602379,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/03",4500000.00,false
1602380,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/08",4500000.00,false
1602381,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/18",4500000.00,false
1602382,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/19",5500000.00,false
1602383,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/23",4500000.00,false
1602384,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/22",4500000.00,false
